,ST,ST_conf
D,0.005403120415865953,0.0029682266095061934
k,0.046174819542662046,0.015900799577060223
gamma,0.8258022981927499,0.21570373697615589
phi_c,0.005649150950481801,0.0038508071845497122
theta_p,0.046211288190914586,0.028518710931660005
theta_i,0.018379323468360208,0.00814130233868278
app,0.0008089646571646295,0.0003539160423392043
api,0.0008541410855971609,0.0003821202925307428
bip,5.108761921640309e-05,2.846200025698445e-05
bii,0.10410014930674381,0.042138395747504054
