,S1,S1_conf
D,-0.0044737403246267946,0.014491535180590346
k,-0.011393883510526198,0.053989536670150856
gamma,0.7968961678283553,0.21640489303207855
phi_c,-0.024519467549233703,0.02038234290125613
theta_p,0.006176052770929192,0.05393575099160567
theta_i,-0.0007954637393186699,0.03607443807522753
app,0.0015686668394799342,0.006668425953686368
api,0.0062015166285562815,0.007466955915468163
bip,-0.0009003376515818663,0.0020856602686670383
bii,0.08388372202967809,0.13183132167193778
