theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.264559431374073,0.4896690726280213,-0.12427087491378186,-0.019598055705428125,0.02470649007707834,0.753120692865923,6.431311547248252,1.4884941993535874,136,0.00651059839884718,1000,1719947877_51418_0
0.264559431374073,0.4896690726280213,-0.0157709375955164,-0.047253999374806885,0.02470649007707834,0.753120692865923,5.800074437574223,1.4895709540110391,118,0.006004569500133061,1000,1719947915_51418_1
0.264559431374073,0.4896690726280213,-0.0157709375955164,-0.019598055705428125,0.02930057495832443,0.753120692865923,6.616059907239885,1.6664972128621218,141,0.00659931567378802,1000,1719947954_51418_2
0.264559431374073,0.4896690726280213,-0.0157709375955164,-0.019598055705428125,0.02470649007707834,0.9299100468400865,5.9483352310704145,1.5651764942868507,111,0.005980365425034083,1000,1719947992_51418_3
0.1049970030784607,0.4008295692503453,-0.12427087491378186,-0.047253999374806885,0.02930057495832443,0.9299100468400865,8.044308476851153,1.7116537892299564,164,0.008213267787182243,1000,1719948032_51418_4
0.10830617807805538,0.1671115018427372,-0.655028738407418,-0.03204875264316798,0.012473729103803635,0.5641567477956414,9.222773359399424,1.5585404336408943,220,0.009940882697565545,1000,1719948071_51418_5
0.45204527862370014,0.1671115018427372,-0.655028738407418,-0.03204875264316798,0.012473729103803635,0.5641567477956414,6.435954969043922,1.582877354534804,138,0.006615210968759669,1000,1719948108_51418_6
0.10830617807805538,0.3859682012349367,-0.655028738407418,-0.03204875264316798,0.012473729103803635,0.5641567477956414,8.870531749392471,1.7076125771573782,190,0.009310266033682457,1000,1719948145_51418_7
0.10830617807805538,0.1671115018427372,-0.337983799725771,-0.03204875264316798,0.012473729103803635,0.5641567477956414,9.417651791905486,1.5466995855306878,239,0.010113386740855601,1000,1719948185_51418_8
0.10830617807805538,0.1671115018427372,-0.655028738407418,-0.03139840491116047,0.012473729103803635,0.5641567477956414,9.311634178320382,1.6068126687052555,229,0.009944181604140262,1000,1719948223_51418_9
0.10830617807805538,0.1671115018427372,-0.655028738407418,-0.03204875264316798,0.01956405125558376,0.5641567477956414,9.222773359399424,1.5585404336408943,220,0.009940882697565545,1000,1719948260_51418_10
0.10830617807805538,0.1671115018427372,-0.655028738407418,-0.03204875264316798,0.012473729103803635,0.6146521578077226,9.262633893446571,1.7082662523738241,204,0.009781999477337489,1000,1719948299_51418_11
0.45204527862370014,0.3859682012349367,-0.337983799725771,-0.03139840491116047,0.01956405125558376,0.6146521578077226,5.244045282669258,1.6183774005826277,92,0.0052065563533064685,1000,1719948335_51418_12
0.4427163608372212,0.34189811386168,-0.3895779029466212,-0.029488025419414046,0.03229253113269806,0.1860535121988505,6.707716086963516,1.5691107356048504,149,0.007122847897645612,1000,1719948376_51418_13
0.23831352666020394,0.34189811386168,-0.3895779029466212,-0.029488025419414046,0.03229253113269806,0.1860535121988505,9.2400453519679,1.676193882899823,211,0.009880933252463753,1000,1719948415_51418_14
0.4427163608372212,0.1697391927242279,-0.3895779029466212,-0.029488025419414046,0.03229253113269806,0.1860535121988505,7.949685748388089,1.7058926406798982,174,0.00859542944375069,1000,1719948453_51418_15
0.4427163608372212,0.34189811386168,-0.6880787464324385,-0.029488025419414046,0.03229253113269806,0.1860535121988505,6.648835606931078,1.6986949914387266,138,0.006977129286370065,1000,1719948490_51418_16
0.4427163608372212,0.34189811386168,-0.3895779029466212,-0.02822065528482199,0.03229253113269806,0.1860535121988505,6.611453963130968,1.5013570872860604,149,0.007046097350389524,1000,1719948529_51418_17
0.4427163608372212,0.34189811386168,-0.3895779029466212,-0.029488025419414046,0.03207863800227642,0.1860535121988505,6.707716086963516,1.5691107356048504,149,0.007122847897645612,1000,1719948568_51418_18
0.4427163608372212,0.34189811386168,-0.3895779029466212,-0.029488025419414046,0.03229253113269806,0.1692543115466833,6.6556104470918225,1.4675579610863365,155,0.007267207284345378,1000,1719948606_51418_19
0.23831352666020394,0.1697391927242279,-0.6880787464324385,-0.02822065528482199,0.03207863800227642,0.1692543115466833,9.496251913392504,1.6374695299167858,230,0.010337469500216412,1000,1719948644_51418_20
