,S1,S1_conf
D,0.09697343148179581,0.17861785656538942
k,0.07051602899577789,0.08124070361638311
phi_c,0.044095531296702566,0.1197713751128052
theta_p,0.32253786746759333,0.11986182386224509
theta_i,0.041323690045360094,0.05670830283058883
app,0.0007469828125095657,0.015931903738422643
api,-0.009789723734943478,0.021820383403379672
bip,-0.006093180417564615,0.00885066149483445
bii,0.35182127731877866,0.17517826458318334
