,ST,ST_conf
D,0.25202647382011384,0.21722179563971666
k,0.18730467861498257,0.14909003945842422
phi_c,0.10863878493848168,0.1044711077103012
theta_p,0.28821745771747265,0.11310278179305379
theta_i,0.04601917775082558,0.022788446237003494
app,0.006959489124853092,0.006590010293857356
api,0.004978160912789809,0.0020753911909464524
bip,0.0016590451905638354,0.0018585568512979507
bii,0.3243557670984511,0.09752781841340934
