,S1,S1_conf
D,0.009049845279856694,0.026716250189283468
k,-0.02797126336698797,0.0375416563747754
gamma,0.8858965765214578,0.20550428993157466
phi_c,-0.0005929121270520297,0.011133465240326754
theta_p,0.01855161258000105,0.03793185699833237
theta_i,0.02037790970423435,0.023218110471751575
app,-0.004818487985937036,0.007548011658066246
api,-0.001336977589387823,0.009015047557961281
bip,-0.006826184158609268,0.005132694129142044
bii,0.015276060127975197,0.04209858087418207
