,ST,ST_conf
D,0.03048682324949244,0.0397300107978991
k,0.026039105088993854,0.011127449902289161
gamma,0.9028788476480258,0.16976364053819978
phi_c,0.0048358114365110215,0.00356457357470546
theta_p,0.024108448490779366,0.01648520486795533
theta_i,0.008309181053023617,0.0039028365466040535
app,0.0010572115094645705,0.0003710741519069831
api,0.0012165653344645493,0.00048735195743346385
bip,0.000535430414507827,0.00021626028831132465
bii,0.03677685625830372,0.01736472908012234
