,S1,S1_conf
D,0.35511307278064913,0.3400241666132708
k,0.058275666937553455,0.07281075674771371
phi_c,-0.0011511719131237076,0.0710439451677768
theta_p,0.05889309625414742,0.1502720154706788
theta_i,0.04011618593551507,0.07590096297955129
app,0.0015929812134595801,0.04363083818493707
api,0.010514394917382488,0.023717633373830108
bip,0.004048938605064356,0.008073009524107817
bii,0.3090112490708022,0.14852867034135347
