D,k,phi_c,theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.0007336689594294,0.0486536126583814,0.036342814899981,0.1603341422975063,0.299803601577878,-0.3813566159922629,-0.0233333634957671,0.0413019979000091,0.6779434968251735,7.662753289671348,1.7954632025131552,113,0.0077039390106985,1000,1719874189_98545_0
1.6886721095070246e-05,0.0486420592665672,0.0393871522694826,0.2197234340012073,0.4626655802130699,-0.2883203571662306,-0.0110769281163811,0.0148813597485423,0.6779434968251735,0.0,0.0,0,0.0,1000,1719874232_98545_1
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,5.085663846357429,1.5547888037845832,65,0.0050136964337279,1000,1719874276_98545_2
0.0007837559647951,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,4.871477834337776,1.8660217155459535,121,0.0050491060819678,1000,1719874322_98545_3
0.0001949563818704,0.0278006944060325,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,4.943470023501306,1.3762919528082542,68,0.0051477922172884,1000,1719874368_98545_4
0.0001949563818704,0.029653149023652,0.0163994569703936,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,4.606044896186186,1.8891093636317564,77,0.0045323817881268,1000,1719874412_98545_5
0.0001949563818704,0.029653149023652,0.0293687511235475,0.3668003126978875,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,5.4647334104041105,1.6246266570964645,74,0.0055504471796028,1000,1719874457_98545_6
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.1519417040050029,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.7435145196504891,5.6553901439057235,1.522906918613981,78,0.0060179336001438,1000,1719874501_98545_7
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.915505002439022,-0.0486869540065527,0.0182193489000201,0.7435145196504891,5.060533373259252,1.5356110822424716,66,0.004893989834249,1000,1719874545_98545_8
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0436288392171263,0.0182193489000201,0.7435145196504891,4.893207915139637,1.571308300750514,67,0.0049600123276083,1000,1719874590_98545_9
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0469747660309076,0.7435145196504891,5.085663846357429,1.5547888037845832,65,0.0050136964337279,1000,1719874635_98545_10
0.0001949563818704,0.029653149023652,0.0293687511235475,0.4451042458415032,0.3340638104826212,-0.6806809730827807,-0.0486869540065527,0.0182193489000201,0.1140671885106712,6.733344035505144,1.592064494406937,112,0.0072022500317664,1000,1719874680_98545_11
0.0007837559647951,0.0278006944060325,0.0163994569703936,0.3668003126978875,0.1519417040050029,-0.915505002439022,-0.0436288392171263,0.0469747660309076,0.1140671885106712,8.415194945331141,1.9357998295362495,333,0.0082977813864547,1000,1719874727_98545_12
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,5.2123335216501445,1.4445847799567146,60,0.0053472286648673,1000,1719874772_98545_13
0.0005032690583728,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,6.02602704555174,2.0399568618258717,144,0.0060008269213174,1000,1719874819_98545_14
9.08217693399638e-05,0.0416431550309062,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,5.042250234087552,1.400940678376383,68,0.0051028040759542,1000,1719874864_98545_15
9.08217693399638e-05,0.0447674194350838,0.0120960965752601,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,5.096375713266122,1.4983532185003956,64,0.005097967622469,1000,1719874908_98545_16
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.2674953155219555,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,6.432431216265983,1.5123611736989973,92,0.0070118984964399,1000,1719874953_98545_17
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.2703399430960417,-0.945406222436577,-0.029450459331274,0.0488963312655687,0.133032145537436,5.518204265184161,1.5824082083713145,66,0.005891247101956,1000,1719874998_98545_18
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.7334386787842959,-0.029450459331274,0.0488963312655687,0.133032145537436,5.33352526448095,1.5414768388549285,60,0.0053135231924515,1000,1719875043_98545_19
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.0463997488841414,0.0488963312655687,0.133032145537436,5.091425381534862,1.4705069887749171,62,0.0051297707110637,1000,1719875088_98545_20
9.08217693399638e-05,0.0447674194350838,0.0110100110247731,0.4897195402532815,0.3524913527071476,-0.945406222436577,-0.029450459331274,0.0438502541184425,0.133032145537436,5.2123335216501445,1.4445847799567146,60,0.0053472286648673,1000,1719875131_98545_21
