,ST,ST_conf
D,0.5373886608379651,0.2747479684735754
k,0.1317915910780806,0.14279749562604319
phi_c,0.17188879658051348,0.15962395101555185
theta_p,0.29436590349949343,0.10621360190848986
theta_i,0.037991446230411965,0.015046944784521262
app,0.03545587682508294,0.06816703654319327
api,0.005829052741155071,0.0024044539639945573
bip,0.0010890268452297426,0.0014544715254343683
bii,0.37567886576111814,0.15852874715022292
