,ST,ST_conf
D,0.005872266336189186,0.004668232303580776
k,0.03806471376933161,0.013443746192963365
gamma,0.900697199267265,0.19523326912376562
phi_c,0.023801406237325233,0.029077764744482044
theta_p,0.039931571494541684,0.027275188842787502
theta_i,0.013676615418140052,0.005942449724899528
app,0.001582865011906749,0.0010843077595979733
api,0.0007117904698029496,0.00038353535390690195
bip,5.2772003161863975e-05,4.012696677000119e-05
bii,0.11448667002282488,0.05042552679135522
