D,k,gamma,phi_c,theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,35.060585297796926,2.074842179636464,1335,0.0355955175902903,1000,1719880251_4598_0
0.000287404824635,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,35.60980213448251,1.9305720692752033,1248,0.0353820634842805,1000,1719880301_4598_1
0.00029025432772,0.0206477488204836,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,36.35210395446673,2.062184753480295,1658,0.0369381818825156,1000,1719880354_4598_2
0.00029025432772,0.0252458142861723,0.0025705724234692,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,41.06350000263839,1.9142290632218697,2098,0.0493513211610848,854,1719880403_4598_3
0.00029025432772,0.0252458142861723,0.00181915741181,0.0250517823547124,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,34.87971330252793,2.2642831177024982,1622,0.0350690273720395,1000,1719880457_4598_4
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.3866063196212054,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,25.500406149025956,2.1672616691597586,704,0.0257302401002784,1000,1719880502_4598_5
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2527191158384084,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.2818030023016035,35.01178785529521,2.02887532029517,1290,0.0351204150198764,1000,1719880553_4598_6
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.0823543456383049,-0.0201767840608954,0.0216707310080528,0.2818030023016035,36.72201745715097,2.157611716773263,1354,0.0368104642031755,1000,1719880604_4598_7
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0175957830622792,0.0216707310080528,0.2818030023016035,35.53019227238181,2.1637807061875165,1313,0.0355987294875481,1000,1719880656_4598_8
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0227350652590394,0.2818030023016035,35.09464025735296,2.305489830049971,1329,0.0356730827910505,1000,1719880707_4598_9
0.00029025432772,0.0252458142861723,0.00181915741181,0.0488415523990988,0.1292480353266001,0.2377299427986145,-0.35851217713207,-0.0201767840608954,0.0216707310080528,0.7492120255716145,26.474271594980493,2.0191456510851573,718,0.0264709653960231,1000,1719880753_4598_10
0.000287404824635,0.0206477488204836,0.0025705724234692,0.0250517823547124,0.3866063196212054,0.2527191158384084,-0.0823543456383049,-0.0175957830622792,0.0227350652590394,0.7492120255716145,34.10975570739322,7.243976678961071,1789,0.0349140251866504,1000,1719880808_4598_11
0.0007924205900635,0.0334841667488217,0.0044538357806857,0.0217521253600716,0.3390387143939734,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,40.0265778518829,4.07074898990516,2223,0.0518497302782871,766,1719880850_4598_12
0.0007768381019122,0.0334841667488217,0.0044538357806857,0.0217521253600716,0.3390387143939734,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,38.92866980107804,4.88077368328339,2175,0.0521453572359844,748,1719880890_4598_13
0.0007924205900635,0.0451538503170013,0.0044538357806857,0.0217521253600716,0.3390387143939734,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,39.935891015590606,5.493552008866875,1983,0.0493850240718853,818,1719880933_4598_14
0.0007924205900635,0.0334841667488217,0.0021891568684019,0.0217521253600716,0.3390387143939734,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,24.485419957668743,2.869126393917443,873,0.0249050783196235,1000,1719880978_4598_15
0.0007924205900635,0.0334841667488217,0.0044538357806857,0.0396489173546433,0.3390387143939734,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,40.29114723640236,5.163112875402468,2194,0.0519736084231963,766,1719881020_4598_16
0.0007924205900635,0.0334841667488217,0.0044538357806857,0.0217521253600716,0.1972053091973066,0.3114881575107574,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,39.99924625420159,4.720560118839738,2711,0.057204803367478,699,1719881062_4598_17
0.0007924205900635,0.0334841667488217,0.0044538357806857,0.0217521253600716,0.3390387143939734,0.4197443913668394,-0.9035816574003548,-0.0319091251119971,0.0443180119991302,0.9266793524846434,39.487175966204816,5.016791707327559,2143,0.0510059977410239,782,1719881104_4598_18
0.0007924205900635,0.0334841667488217,0.0044538357806857,0.0217521253600716,0.3390387143939734,0.3114881575107574,-0.815810107300058,-0.0319091251119971,0.0443180119991302,0.9266793524846434,40.410531761818184,3.909676475616597,2278,0.0524454442567989,768,1719881145_4598_19
