D,k,gamma,phi_c,theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,36.036086852503104,7.900885785659515,4182,0.04092348876199903,888,1719880265_4592_0
0.0006745388107653708,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,37.61835878599422,6.732450925949204,4301,0.04310268484015345,888,1719880328_4592_1
0.0003143177750334144,0.025567096956074238,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,39.44180565131613,9.549345804542625,2775,0.04179023859804876,1000,1719880390_4592_2
0.0003143177750334144,0.01660638425499201,0.004985059903422371,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,36.17769731993234,8.071911269611162,4769,0.07951828763815916,477,1719880427_4592_3
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.03878504134714603,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,41.09741406044386,12.131682913260207,2819,0.04408508346829787,968,1719880488_4592_4
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.28440874181687836,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,35.58070808745918,8.334588535765391,4577,0.04203565449426258,862,1719880553_4592_5
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.42482056394219403,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,38.651151137598944,5.774830197553129,3686,0.03858344389290436,995,1719880621_4592_6
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.5114584499504418,-0.02651070158928633,0.048407758809626104,0.34554608203470705,36.579493945439495,7.245798665800195,4274,0.0410389709159833,886,1719880686_4592_7
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.024839003123342994,0.048407758809626104,0.34554608203470705,37.10053072407212,7.308763473512652,4274,0.04126818916325052,898,1719880752_4592_8
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.010361841283738613,0.34554608203470705,36.25266354887285,7.704690598649124,4229,0.04109882899803852,891,1719880817_4592_9
