,S1,S1_conf
D,0.005220591494973716,0.01538557270329247
k,0.020997385597223212,0.03888879831676183
gamma,0.8867820712907049,0.20534619073244118
phi_c,0.034625349703442415,0.041678981234359966
theta_p,0.024769404790638994,0.044766843470239695
theta_i,0.014314625329551604,0.027427728792882414
app,0.00019223819182300828,0.009818371858137422
api,0.003966544745259212,0.005822969022176496
bip,0.0009217783377537481,0.0018608199125324488
bii,-0.01324834601777685,0.057399688138358176
