,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008654663671930593,0.0011338586214987986
1,1.76,0.18014948459543265,0.12,0.09007474229771632,0.0,0.0,0.88,0.09007474229771632,0.12,0.09007474229771632,0.0,0.0,0.0,0.0,0.0,0.0,0.009883542073414879,0.0006479114541885498
2,2.6,0.46049573287925255,0.58,0.2080925640189962,0.0,0.0,0.7000000000000002,0.11428665713896789,0.30000000000000004,0.11428665713896789,0.0,0.0,0.0,0.0,0.0,0.0,0.008752351352744539,0.0006345225453827886
3,2.0,0.5543717164502532,2.18,0.307113925441358,0.0,0.0,0.3857142857142856,0.09677474050598119,0.6142857142857143,0.09677474050598119,0.0,0.0,0.0,0.0,0.0,0.0,0.009952830461911059,0.0008527880908221623
4,1.48,0.38102722632378894,3.44,0.4263979887382207,0.0,0.0,0.2555555555555556,0.06668548919469515,0.7444444444444442,0.06668548919469515,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011022046636202218,0.00064442289200883
5,1.2,0.4148538055749277,4.32,0.5719439860685659,0.0,0.0,0.20162193362193367,0.07910386581851182,0.7983780663780665,0.07910386581851184,0.0,0.0,0.02414213562373095,0.03328211274416261,0.02414213562373095,0.03328211274416261,0.011247563303034093,0.0007038172532398008
6,1.24,0.4132208087693551,4.9,0.6351125884439703,0.0,0.0,0.17785225885225883,0.0613298860272567,0.8221477411477413,0.06132988602725671,0.0,0.0,0.02414213562373095,0.03328211274416261,0.02414213562373095,0.03328211274416261,0.011659795486599145,0.0006787942666358004
7,0.68,0.26261074463928546,5.8,0.6946257697494386,0.0,0.0,0.09923953823953825,0.04328161441637672,0.9007604617604618,0.04328161441637672,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011257394353137398,0.0006668719860419342
8,0.64,0.3024248878647389,6.16,0.7628606037802713,0.0,0.0,0.1050981240981241,0.05847410358166615,0.8949018759018758,0.058474103581666145,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011879774366787587,0.0007279585556167907
9,0.48,0.26143784576835866,6.56,0.7684799833437433,0.0,0.0,0.06839826839826839,0.04026356387683119,0.9316017316017318,0.0402635638768312,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011676664702977225,0.0006337342705590792
10,0.44,0.22964643432894838,6.82,0.7892547897859095,0.0,0.0,0.07721978021978022,0.049921331039968334,0.9227802197802198,0.04992133103996834,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011691747158908406,0.0006639914373924083
11,0.24,0.18014948459543262,7.14,0.752006816990378,0.0,0.0,0.030796536796536794,0.0260086503352402,0.9692034632034631,0.02600865033524019,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.012121277035250271,0.000599066973620643
12,0.36,0.21298265844899206,7.2,0.7701578020120292,0.0,0.0,0.043919635919635915,0.027768895976458593,0.956080364080364,0.02776889597645858,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011997139579662634,0.0006322184230572888
13,0.24,0.21153476499147844,7.44,0.8055766908246539,0.0,0.0,0.03454761904761904,0.03290291173876392,0.9654523809523811,0.032902911738763925,0.0,0.0,0.01,0.019403010075758845,0.01,0.019403010075758845,0.011310647966731972,0.0005876670780123202
