,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
11,0.56,0.3143830224423705,6.52,0.8804567832665041,0.0,0.0,0.06606493506493506,0.03806133422233389,0.9339350649350651,0.03806133422233389,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758842
12,0.24,0.18014948459543267,6.96,0.9292301915026223,0.0,0.0,0.021853701853701852,0.017381192432153098,0.9781462981462983,0.01738119243215309,0.0,0.0,0.04,0.04671219112822692,0.02,0.02715855666268001
13,0.24,0.21153476499147844,7.08,1.0279672150414134,0.0,0.0,0.044380952380952375,0.04058739482483036,0.9556190476190476,0.04058739482483037,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758845
14,0.2,0.16631151493507584,7.22,0.9921395321223724,0.0,0.0,0.03134199134199134,0.03151210129761263,0.9686580086580088,0.03151210129761264,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758845
15,0.2,0.16631151493507587,7.32,1.0303561729809745,0.0,0.0,0.0323982683982684,0.031071662141551923,0.9676017316017317,0.03107166214155191,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758845
16,0.4,0.22174868658010133,7.32,1.0107824707621318,0.0,0.0,0.05712008281573499,0.0360389707077902,0.942879917184265,0.0360389707077902,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758845
17,0.28,0.2220256994133786,7.58,1.0117701493916493,0.0,0.0,0.03181501831501832,0.03366796537350972,0.9681849816849817,0.03366796537350972,0.0,0.0,0.03,0.04303081686419623,0.01,0.019403010075758845
18,0.2,0.199881564932837,7.76,1.052664161449415,0.0,0.0,0.01898095238095238,0.01934868227129579,0.9810190476190477,0.019348682271295794,0.0,0.0,0.04414213562373095,0.05039256578251847,0.02414213562373095,0.03328211274416262
19,0.44,0.2550109895671166,7.74,1.1098654678833826,0.0,0.0,0.06472793872793872,0.04128300482622445,0.9352720612720614,0.04128300482622446,0.0,0.0,0.038856180831641274,0.044924615238769824,0.03333333333333333,0.03695811443001685
20,0.4,0.31359999999999977,7.98,1.049638102966923,0.0,0.0,0.03209885825675299,0.02378655956740582,0.9679011417432472,0.02378655956740583,0.0,0.0,0.06333333333333332,0.06190484167027831,0.019428090415820633,0.026393848972589753
21,0.28,0.19235979621532143,8.24,1.1649195323283064,0.0,0.0,0.02733089133089133,0.0201876173477016,0.9726691086691087,0.020187617347701598,0.0,0.0,0.08218951416497461,0.07062070689594872,0.032761423749153966,0.03641595865370034
22,0.4,0.2217486865801013,8.32,1.194719282174687,0.0,0.0,0.047198213663730906,0.030980158759165953,0.952801786336269,0.030980158759165946,0.0,0.0,0.08218951416497461,0.07062070689594872,0.032761423749153966,0.03641595865370034
23,0.24,0.2115347649914785,8.6,1.2519476027374303,0.0,0.0,0.032,0.03530225470923289,0.9679999999999999,0.03530225470923288,0.0,0.0,0.09552284749830793,0.07408226556545386,0.0421895141649746,0.04016596459140808
24,0.16,0.1503972765710869,8.76,1.2340966885945361,0.0,0.0,0.00964326375711575,0.009514308395054006,0.9903567362428843,0.009514308395054,0.0,0.0,0.09552284749830793,0.07408226556545386,0.0421895141649746,0.04016596459140808
25,0.16,0.15039727657108692,8.84,1.3005423410254664,0.0,0.0,0.016249999999999997,0.017180694753770053,0.98375,0.017180694753770057,0.0,0.0,0.10552284749830793,0.07561662940736405,0.0521895141649746,0.04387426827323479
