,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
726,3.1914893617021276,0.8720398470771517,219.63829787234042,32.26895578135458,632.3404255319149,166.01405185053946,0.005417076347128043,0.0016983241075428103,0.3260602614844487,0.03054057174626294,0.6685226621684233,0.031069154778196766,8.5493551030719,1.1694477376388683,1.9338613509567104,0.42138112294185887
727,3.3617021276595747,0.7376104000229735,220.10638297872342,32.30148037899189,633.3829787234042,165.88300786069985,0.0047589247162528854,0.001040089084725708,0.3263512864706348,0.03029939510944531,0.6688897888131123,0.030585215675993163,8.557201129949501,1.1645136500889064,1.9177685659137667,0.4174838627208088
728,3.021276595744681,0.9202656395656784,220.19148936170214,32.039483779481955,635.1489361702128,166.1617493490319,0.0035505424197939135,0.0009056685133533765,0.32677114262742885,0.030639247302390576,0.6696783149527774,0.030572998095789533,8.587188924538475,1.169295795453628,1.9396626572622342,0.4162625543260463
729,2.723404255319149,0.74061411979399,220.7872340425532,32.199710527780745,636.2127659574468,166.36187650365562,0.003134089966068593,0.0009509977128930321,0.3266316380560257,0.030375257202900928,0.6702342719779059,0.0301790255391361,8.584612178366799,1.1689989123904105,1.9382602587979825,0.41854904788157105
730,3.4893617021276597,0.7219946109071843,220.10638297872342,32.22224039956675,637.8723404255319,166.5204298004378,0.00553142135837865,0.001314243895175271,0.3239884618879628,0.02981591895631295,0.6704801167536586,0.03018191202578699,8.589817500140871,1.173806218809998,1.9457370439441972,0.41670630916517476
731,3.234042553191489,0.7960908120238533,220.46808510638297,32.0232618349301,639.3829787234042,166.69459942631582,0.004964792098926123,0.0011937188921993564,0.32363797635685454,0.029442076849813564,0.6713972315442194,0.030028479071764824,8.60951486419857,1.1748459393877382,1.9704305187896185,0.4244107010353976
732,3.702127659574468,1.0007031730179226,220.4468085106383,31.86248920243306,640.7872340425532,166.81603703708544,0.004226632405853373,0.0010230136366276078,0.324178199141208,0.02986384909356177,0.6715951684529388,0.029727372899869355,8.605390476075435,1.1672972298115103,1.9485094431063683,0.41634633315324576
733,3.021276595744681,1.0206196166617596,220.87234042553192,31.740092725717638,642.5531914893617,167.09990837592795,0.003698593954823673,0.0010582624535697156,0.32401197232901996,0.029572447500817882,0.6722894337161563,0.02974986570216924,8.651165806652187,1.1681317488910872,1.943340395563481,0.41875758470818136
734,3.404255319148936,0.8079017983504022,221.0,31.91321904259237,643.7446808510638,167.2807699793531,0.003761745070560955,0.0009638264815669452,0.32396237138086426,0.02991087677146738,0.6722758835485745,0.029810833208356795,8.653644647505995,1.172737897144281,1.9777393158253926,0.4271178014096223
735,3.4893617021276597,0.9247578974171682,221.31914893617022,32.0199085292099,645.0851063829788,167.4140298385741,0.00505662642944451,0.0015186040737416675,0.32264220289771034,0.029344535245369025,0.6723011706728451,0.030020404778758968,8.672906902555598,1.1771406380411285,1.967701987811504,0.4258803497479132
736,2.765957446808511,0.7033030533717044,221.93617021276594,32.17823314672136,646.5744680851063,167.57662332006612,0.0035795208850964494,0.0009587659991583775,0.32295722503503826,0.02962977148332801,0.6734632540798654,0.029853829777753912,8.669113912629387,1.1708548953027635,1.977574016585719,0.4206066342783374
