,Unnamed: 0,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078228316984328,0.003572425507554
1,1,1.4042553191489362,0.2614931206152551,0.2978723404255319,0.1307465603076275,0.0,0.0,0.7021276595744681,0.1307465603076275,0.2978723404255319,0.1307465603076275,0.0,0.0,0.0,0.0,0.0,0.0,0.0087412026054731,0.0021402030206179
2,2,2.425531914893617,0.470863673824709,0.4893617021276595,0.1853033507659572,0.0,0.0,0.6950354609929079,0.1209118610758069,0.3049645390070922,0.1209118610758069,0.0,0.0,0.0,0.0,0.0,0.0,0.0094139409068916,0.0016901937262623
3,3,2.382978723404255,0.4953721003588835,1.7234042553191489,0.29311658496748,0.0,0.0,0.5167173252279635,0.0916620613765002,0.4832826747720365,0.0916620613765002,0.0,0.0,0.0187838874994599,0.0364226496802189,0.0099929523610493,0.0193767026728669,0.0082014645297746,0.0021138556125737
4,4,1.1063829787234043,0.4977565767145612,3.5531914893617023,0.5134902401901729,0.0,0.0,0.17983789260385,0.0750884975312262,0.82016210739615,0.0750884975312262,0.0,0.0,0.0187838874994599,0.0364226496802189,0.0099929523610493,0.0193767026728669,0.0099231861387652,0.0021044091780689
5,5,2.2127659574468086,0.6799778918791549,3.5531914893617023,0.5494831304962339,0.0,0.0,0.3615273059578441,0.0874792199084978,0.6384726940421559,0.0874792199084978,0.0,0.0,0.0230392066483961,0.0446738702352657,0.0035252218074305,0.006835534920064,0.0103667615472127,0.0027422769866954
6,6,1.4042553191489362,0.5263713007843017,5.0638297872340425,0.6988168149873378,0.0,0.0,0.1625126646403242,0.0634101221718701,0.8374873353596758,0.0634101221718701,0.0,0.0,0.0305284804910081,0.0591958480493113,0.0093044244043314,0.0180416216060061,0.0099055249105538,0.0016871714263164
7,7,1.3617021276595744,0.9946207165366746,5.787234042553192,0.8463295937986541,0.0,0.0,0.1627720978784808,0.0602178987570401,0.8372279021215192,0.0602178987570401,0.0,0.0,0.0721069085964503,0.0841726455047466,0.041940202737108,0.0393272839308318,0.0087886546834433,0.0013479564836036
8,8,1.872340425531915,1.2671094164945274,6.212765957446808,1.0196765797485927,0.0,0.0,0.195063125597304,0.0909526702050053,0.804936874402696,0.0909526702050053,0.0,0.0,0.0870337436694484,0.096438042946778,0.0435239486553149,0.041205291989454,0.0110509931944773,0.0026033181037016
9,9,1.1063829787234043,1.136310732354434,7.531914893617022,1.3639223412046009,0.0,0.0,0.0645390070921985,0.0415351821569021,0.9354609929078016,0.0415351821569021,0.0,0.0,0.0951002477503057,0.1103944269685585,0.0408898491809935,0.0383512425900374,0.0091058747583235,0.0012431169985042
10,10,1.2340425531914894,1.5672597965839457,8.02127659574468,1.6560411737999945,0.0,0.0,0.0622706325305301,0.0379142801768029,0.9377293674694698,0.0379142801768028,0.0,0.0,0.1134476081135128,0.1246506507523602,0.0416087514478046,0.0391016715889595,0.0085314973224535,0.0011577984592962
11,11,1.446808510638298,1.2632489439906571,8.53191489361702,2.5692376350150004,0.0,0.0,0.0931456764019206,0.06691319835472,0.9068543235980794,0.06691319835472,0.0,0.0,0.1222882528050242,0.1398066523025772,0.0433692014984144,0.0410599991749351,0.0096621500465788,0.0021856250706058
12,12,1.0638297872340423,1.4959434471103858,9.4468085106383,2.9745099035912315,0.0,0.0,0.0452611218568665,0.0346610837868518,0.9547388781431336,0.0346610837868518,0.0,0.0,0.1451295688170883,0.1554325693789161,0.0527684224773814,0.0496748031560126,0.0095319750236708,0.001498848235318
13,13,1.702127659574468,1.970102164838066,9.659574468085106,3.4166625192835505,0.0,0.0,0.0354609929078014,0.0334814342917382,0.9645390070921986,0.0334814342917383,0.0,0.0,0.2049062152637039,0.18109182704837,0.0638779022456438,0.0529971360493169,0.0089252356943091,0.0010985719779239
14,14,2.5106382978723403,2.0783165138870525,10.106382978723405,4.474089895883177,0.0,0.0,0.1039744380937,0.0658676509663139,0.8960255619063,0.0658676509663139,0.0,0.0,0.2264190310122662,0.1973587609131133,0.0494012572823458,0.039628253634924,0.0100747162235382,0.0013904476917783
15,15,1.148936170212766,1.428842603297346,12.04255319148936,5.503719547871262,0.0,0.0,0.0197292069632495,0.0151453080782084,0.9802707930367504,0.0151453080782084,0.0,0.0,0.310548710675075,0.2184735760944084,0.0636368013138743,0.0428259590793444,,
16,16,2.936170212765957,2.482173033284601,11.72340425531915,5.839698338142506,0.0,0.0,0.0936757515696926,0.071238094379854,0.9063242484303072,0.071238094379854,0.0,0.0,0.3269206806054511,0.2307977611645936,0.0672607441517887,0.0461537075228452,,
17,17,2.25531914893617,1.986412102957167,13.53191489361702,7.1284663783965385,0.0,0.0,0.0549696420142354,0.039612757978197,0.9450303579857646,0.039612757978197,0.0,0.0,0.3339341833921687,0.2375508573697902,0.0657999444640856,0.0438721572653105,,
18,18,2.3404255319148937,2.047465407529987,14.617021276595745,8.026235768216294,0.0,0.0,0.0454245439678475,0.0332447840393132,0.9545754560321524,0.0332447840393132,0.0,0.0,0.3500675331445924,0.2487726974994976,0.0617623657902065,0.0403988488822608,,
19,19,1.574468085106383,1.1791377894992274,16.170212765957448,9.38220380080549,0.0,0.0,0.0497516279776787,0.0277119354232336,0.9502483720223212,0.0277119354232336,0.0,0.0,0.3637486318089797,0.2589694813944498,0.0683425894519422,0.0456542982599322,,
20,20,2.1702127659574466,1.944696038525637,16.659574468085108,9.604766215835426,0.0,0.0,0.0425938638067725,0.027415541987995,0.9574061361932276,0.027415541987995,0.0,0.0,0.3742074158035632,0.2670297724478893,0.0755110542265962,0.0517378386053032,,
21,21,2.127659574468085,1.4985136287203202,17.76595744680851,10.745273670677989,0.0,0.0,0.0598707934329073,0.0325683078379925,0.9401292065670926,0.0325683078379925,0.0,0.0,0.3933860995015611,0.277679522228813,0.086357432136722,0.0577775955688006,,
22,22,1.3617021276595744,0.9517326999214768,19.21276595744681,11.684923693830356,0.0,0.0,0.0286855420604696,0.0170308031226567,0.9713144579395304,0.0170308031226567,0.0,0.0,0.4099672979441002,0.2868690461338389,0.0862928707005456,0.0571917675454013,,
23,23,2.2127659574468086,1.8013544502904282,19.46808510638298,11.945290551593189,0.0,0.0,0.0466517238452795,0.0305337133567809,0.9533482761547204,0.0305337133567809,0.0,0.0,0.4218370690720389,0.2950327120391234,0.0806745743572996,0.0541425617498027,,
24,24,1.7872340425531914,1.396786194013801,20.78723404255319,12.58892349772564,0.0,0.0,0.0220732564351195,0.0153878048843402,0.9779267435648804,0.0153878048843402,0.0,0.0,0.4354483896857762,0.3028142578688591,0.094501003230067,0.0642958168244331,,
25,25,1.3617021276595744,1.0357343324559762,21.8936170212766,13.243591762379197,0.0,0.0,0.0170542267918206,0.0137805529183802,0.9829457732081792,0.0137805529183802,0.0,0.0,0.4610109455488011,0.3098915120123189,0.0966276650384256,0.0619626614740214,,
26,26,1.6595744680851063,1.1754920644878253,22.425531914893615,13.6822062121579,0.0,0.0,0.0366786063949184,0.0250432187091282,0.9633213936050816,0.0250432187091282,0.0,0.0,0.4963430648691165,0.3252329312431676,0.0906825481176614,0.0597308510951154,,
27,27,2.2127659574468086,1.260668728060543,22.97872340425532,13.997819604248312,0.0,0.0,0.0487595063482893,0.0261142270093078,0.9512404936517104,0.0261142270093078,0.0,0.0,0.5085438670833441,0.3316632317820127,0.0986515962616609,0.0636057494904563,,
28,28,2.0851063829787235,1.2591415697433592,24.148936170212767,14.32769786419536,0.0,0.0,0.0355807400600233,0.0182257695562963,0.9644192599399768,0.0182257695562963,0.0,0.0,0.5209256045425347,0.3376950348546756,0.1100611181107725,0.0709909774124654,,
29,29,1.446808510638298,0.970519723030596,25.51063829787234,14.870170894111482,0.0,0.0,0.0256823873561041,0.0223306605227401,0.974317612643896,0.0223306605227401,0.0,0.0,0.5393999013387775,0.3457170521762129,0.1057634857495752,0.0682882618788221,,
30,30,2.2127659574468086,1.5069837699302813,25.851063829787236,15.154346483787526,0.0,0.0,0.0254984661187737,0.0160558829999454,0.9745015338812264,0.0160558829999454,0.0,0.0,0.5602056010546724,0.3547752876554307,0.0869317924189371,0.062360968925623,,
31,31,2.6382978723404253,1.4924765978449253,26.74468085106383,15.620045941536269,0.0,0.0,0.0557874308602259,0.0302351349600655,0.944212569139774,0.0302351349600655,0.0,0.0,0.578025940166709,0.3643072656941204,0.0957578642031225,0.0654142513475362,,
